"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"NK-23p2d4vMT5sJtQ845GyzJt","LegalEntity","Joint Stock Company Research and Production Association of Measuring Equipment","AO NPO IT;AO Nauchno Proizvodstvennoe Obedinenie Izmeritelnoi Tekhniki;JSC NPO IT;株式会社学術生産団体 IT;株式会社測量技術学術生産団体","","","2 Pionerskaya Street, Building 4, Floor 3, Office 344, Korolyov, Moscow Oblast, 141074, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-2CUomiD2azL8hqw8gituB4","LegalEntity","Joint Stock Company Vologda Optical and Mechanical Plant","AO VOMZ;AO Vologodsky Optiko Mekhanichesky Zavod;JSC VOMZ;OAO VOMZ;公開株式会社 VOMZ;株式会社 VOMZ;株式会社ヴォログダ光学機械工場","","","54 Maltseva Street, Vologda, Vologda Oblast, 160009, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-2TVNSeGQTNtoei9862a2sP","LegalEntity","Tambov Plant (TZ) “October”","JSC Octayabr;Tambov Plant (TZ) October JSC;タムボフ工場「オクトーバー」;株式会社オクチ ャブリ;株式会社タムボフ工場オクトーバー","","","1 Bastionaya Street, Tambov, Tambovskaya Oblast, 392029, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-2qZF5XkxqmKYSW54PobRcz","LegalEntity","LLC Fibersense","LLC Fibersens;OOO Fibersense;有限会社ファイバーセンス","","","6A Sosnovaya Alley, Building 5, Zelenograd, Moscow, 124489, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-3DHnZeytBnL8iA5MHygekh","LegalEntity","Central Research and Development Institute Tsiklon","CRI Cyclone;CRI サイクロン;Central Research Institute Cyclone JSC;Cyclone TsNII;サイクロン TsNII;ツィクロン中央研究開発所;有限会社インターサイクロン;株式会社サイクロン 中央研究所","","","77 Shelkovskoe Highway, Moscow, Russia, 107207.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-3cPk6RemwcUyDWYZ8a39EP","LegalEntity","Robin Trade Limited","Robin Tried;ロビントリエド;ロビン貿易有限会社","","","21 Yablochkova Street, Building 3, Room VII, Moscow, Russia, 127322.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-3cab8SqMtaaeWcAnMzJVFz","LegalEntity","Karasani Dis Ticaret Limited Sirketi","Arizai Gida Ticaret Limited Sirketi;Improtex;Improtex Dis Ticaret Limited Sirketi;Improtex Foreign Trade Limited Liability Company;Improtex LLC;Karasani Diș Ticaret Limited Șirketi;Karasani Foreign Trade Limited Company;Karasani Group Companies;Karasani Logistic;Karasani Packing;Karasani Trade;Karvan International Logistics;アリザイ・グダ・ティジャーレット有限会社;インプロテックス;インプロテックス・ドゥシュ・ティジャー レット有限会社;インプロテックス・フォーリン・トレード有限会社;インプロテックス有 限会社;カラサニ・グループ・カンパニーズ;カラサニ・トレード;カラサニ・パッキング;カラサニ・ロジスティクス;カラサニ･ドゥシ ュ・ティジャーレット有限会社連合;カラサニ･ドゥシュ・ティジャーレット有限会社;カラサニ･フォーリン･トレード有限 会社;カルヴァン・インターナシ ョナル・ロジスティクス","","","Cevval Sokak No: 1/3, Ic Kapi No: 180, Cumhuriyet Mahallesi, Buyukcekmece, Istanbul, 34500, Turkey;Selale Caddesi No.13E, Bahcesehir 2, Kısım Mahallesi, Basaksehir, Istanbul, Turkey.","","ウクライナをめぐる国際平和のための国際的な努力に我が国として寄与す るために講ずる輸出等に係る禁止措置の対象となるロシア連邦及びベラルー シ共和国以外の国の団体を指定する件（令和五年外務省告示第四百四十七号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-3priCvNNyWLFiEEyLcNpqv","LegalEntity","Scientific Production Enterprise “Radiosviaz”","Radiosviaz;ラジオスヴャジ;学術生産企業「ラジオスヴャジ」","","","19 Dekabristov Street, Krasnoyarsk, 660021, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-3rPqsgTZpw4S669XLeZ6RG","LegalEntity","Department of Internal Affairs of the Gomel Region Executive Committee","UVD of the Gomel Region Executive Committee;ゴメリ州執行委員会内務局","","","3 Kommunarov str., Gomel, Gomel Region, 246050, Belarus","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるベラルーシ共和国の団体（令和四年外務省告示第百四号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-3wddRb2N6FmtNydAqxvSYF","LegalEntity","Scientific-Production Association Vint of Zvezdochka Shipyard","NPO Vint;SPU Vint;SPUヴィント;ズヴョーズダチカ造船所・学術生産団体ヴィント;学術生産公団ヴィン ト","","","11 Novinsky Boulevard, Moscow, 121099, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-4Bkq89UVNdEAT3zjbcge4F","LegalEntity","Dolgoprudniy Design Bureau of Automatics","DKBA JSC;Dolgoprudno Design Bureau of Automation;Dolgoprudny;ドルゴプルドニー;ドルゴプルドニー自動設計局;ドルゴプルドノ自動設計局;株式会社 DKBA","","","Lyotnaya Street, Dolgoprudniy, Moskovskaya Oblast, 141700, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-4XBgcsq75yW8Ri2QpGmPhq","LegalEntity","Scientific Research Institute of Hypersonic Systems","Hypersonic System Research Institute of holding company Leninetz;持株会社レニネツ極超音速システム科学研究所;極超音速システム科学研究所","","","212 Mosckovsky Avenue, St. Petersburg, Russia, 196066.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-4fKQNTfxn4QBuqoqW7G5jy","LegalEntity","Joint Stock Company Special Design Bureau of Control Means","AO SPKB SU;AO Spetsialnoe Proektno-Konstruktorskoe Byuro Sredstv Upravleniya;株式会社SPKB SU;株式会社制御機器特別計画設計局;株式会社制御機器特別設計局","","","9 Vagzhanovski Lane, Office 315, Tver, Tver Oblast, 170100, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-5DwW2XYNW2RejATzHSxfvT","LegalEntity","Tactical Missile Corporation, NPO Lightning","Research and Production Association Lightning JSC NPO Molniya;戦術ミサイル兵器コーポレーション、学術生産公団ライトニング;研究・生産団体ラ イトニング 株式会社学術生産公団モールニヤ","","","5K1 Lodochnaya Street, Moscow, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-5SbE2xBrgHjuKwGFCVvjQM","LegalEntity","Peleng JSC","株式会社ペレング","","","25 Makaenka str., Minsk, 220114, Belarus","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるベラルーシ共和国の団体（令和四年外務省告示第百四号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-6AEm6MPPzBwY6UaTzTVt4H","LegalEntity","Rubin Sever Design Bureau","Aktsionernoe Obshchestvo “Konstruktorskoe Byuro “Rubin-Sever”;Konstruktorskoe Byuro Rubin-Sever, PAO;Rubin Sever AO;ルビン・セーヴェル設計局;公共株式会社ルビン・セーヴェル建設局;株式会社「ルビン・セーヴェル建設局」;株式会社ルビン・セーヴェル","","","58 Arkhangelskoe Highway, Severodvinsk, Arkhangelskaya Oblast, Russia, 164500.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-6hvYjQLuK5UqmFYrRVWqu9","LegalEntity","Systems of Biological Synthesis LLC","OOO SBS;SBS LLC;Sistemy Biologicheskogo Sinteza;有限会社 SBS;有限会社生合成システムズ","","","Akademika Koroleva Street, Building 13/1, Office 35-39, Moscow, 129515, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-6mWPPVmJzBchaEjgzqcZeB","LegalEntity","Microelectronic Research and Development Center Novosibirs","IFP KTIPM SO RAN;KTIPM;ノヴォシビルスク・マイクロエレクトロニクス研究開発センター","","","2/1 Akademika Lavrentyeva Avenue, Novosibirsk, Russia, 630090.;8 Nikolayeva Street, Novosibirsk, Russia, 630090","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
