organization_name,external_id,schema_type,description,aliases,published_date,updated_date,data_source_url
764,2025-121,Terrorist Organization,"764 is a decentralized transnational network of online nihilistic violent extremists, whose core beliefs are rooted in misanthropy (a hatred of humanity or the human race) and nihilism (the rejection of all religious, moral and social values, often accompanied by a belief that life is meaningless.). 764 members engage in criminal conduct around the world, seeking to destroy civilized society through violence and chaos, not as a step towards a new ""state"" but rather as an end itself. Members routinely use various social media and gaming platforms, particularly those with young and marginalized user bases, to lure, groom, and extort youth to commit violent and sexual acts, including self-harm. 764 members view sexual, psychological, and physical violence as entertainment, a way to achieve status and notoriety in-group, and ideological labour to erode social norms. 764 members disseminate instructional materials on how to effectively carry out these activities while avoiding detection. Elements of the network have increasingly focused on encouraging offline acts of violence. In February 2024, a 14-year-old 764 member from Alberta was charged with multiple offences, including child pornography and explosives-related crimes. Authorities allege the minor was active in extremist group chats and shared disturbing online content involving violence, weapons, self-harm, and sexual exploitation material. On January 4, 2025, a minor linked to 764 attacked a 55-year-old woman with a knife in Sweden, causing nonfatal injuries. The minor uploaded the video of the attack to social media from a 764-linked account. In January 2025, a teenager allegedly involved in the 764 network pled guilty to encouraging suicide, possessing a terrorism manual, and possessing child sexual abuse material in the United Kingdom.",,2025-12-08,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Abdallah Azzam Brigades (AAB),1,Terrorist Organization,"The AAB is an Al Qaida affiliated militant group that follows Salafist ideology. The group is a fluid network organized into a number of regional battalions, including the Ziyad al-Jarrah Battalions based in Lebanon. The AAB has claimed responsibility for several rocket attacks in northern Israel and has also repeatedly articulated its intent to carry out attacks against Western targets in the Middle East. Since the start of protests in Syria, the AAB's communiqués have supported regime overthrow. AAB relies primarily on rocket attacks against Israeli civilians and suicide bombings. In 2014, the AAB claimed joint responsibility with Jabhat al-Nusra for rocket attacks in Hermel, Lebanon. The AAB also claimed responsibility for two suicide bombings near the Iranian cultural centre in Beirut, Lebanon, in February, 2014. AAB continued to operate with limited government control within Lebanon, primarily inside Lebanon’s 12 Palestinian refugee camps. These groups used the Palestinian camps to house weapons, shelter wanted criminals, and plan terrorist attacks. AAB did not claim responsibility for attacks between 2018-2020, and leadership announced its dissolution in the Levant (Syria) in November 2019.",The Abdullah Azzam Brigades; the Brigades of Abdullah Azzam; the Brigades of the Martyr Abdullah Azzam; the Ziyad al-Jarrah Battalions; the Ziad al-Jarrah Battalion; the Yusuf al-'Uyayri Battalions; the Yusuf al-Ayiri Battalion; the Battalion of Sheikh Yusuf al-'Ayiri; the Marwan Hadid Brigades.,2015-06-29,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Abu Nidal Organization (ANO),2,Terrorist Organization,"From the mid-1970s to the early 1990s, the Abu Nidal Organization (ANO) was one of the most feared transnational terrorist organizations in the world, killing or wounding about 900 people in terrorist attacks in 20 countries. Founded by Abu Nidal in 1974, the goal of the ANO was to destroy the State of Israel, viewing armed struggle as the only method to liberate the people of Palestine. ANO was responsible for the November 1985 hijacking of an Egypt Air flight, which resulted in the death of at least 58 people, including a Canadian woman and her infant son. ANO was also responsible for the July 1988 explosion of two bombs near a cruise ship in Aegina, Greece killing 9, and the 1994 assassination of a Jordanian embassy diplomat in Beirut.",Fatah Revolutionary Council; Revolutionary Council; Revolutionary Council of Fatah; Al-Fatah Revolutionary Council; Fatah-the Revolutionary Council; Black June; Arab Revolutionary Brigades; Revolutionary Organization of Socialist Muslims; Black September; Egyptian Revolution; Arab Fedayeen Cells; Palestine Revolutionary Council; Organization of Jund al Haq; Arab Revolutionary Council.,2003-02-12,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Abu Sayyaf Group (ASG),3,Terrorist Organization,"Founded in the early 1990s, the Abu Sayyaf Group (ASG) is a militant Islamist group with links to Al Qaida and Jemaah Islamiyyah. Ostensibly, the group's goal is the establishment of an Islamic state governed by Sharia Law in the south Philippines. In practice, however, the ASG primarily uses terrorism for profit: kidnap-for-ransom, guerrilla warfare, mass-casualty bombings, and beheadings are particularly favoured tactics. In 2016, two Canadian nationals were beheaded after being kidnapped this group. On May 23, 2017, members of ASG's Islamic State (IS)-aligned Basilan faction, in alliance with other IS-aligned militants, launched a siege on Marawi City, Philippines, that lasted five months. At least 45 civilians were killed during the siege, and 1,780 hostages were rescued. ASG continues to engage in terrorism activities and guerilla warfare, clashing with and targeting the Philippines Armed Forces, as well as targeting Christian and western individuals, in addition to kidnapping local or foreign targets who appear financially able to pay ransoms. In 2021, ASG reportedly destroyed a bridge in the Basilan province with an improvised explosive device.",Al Harakat Al Islamiyya (AHAI); Al Harakat-ul Al Islamiyya; Al-Harakatul-Islamia; Al Harakat Al Aslamiya; Abou Sayaf Armed Band (ASAB); Abu Sayaff Group; Abu Sayyef Group; Mujahideen Commando Freedom Fighters (MCFF),2003-02-12,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al-Aqsa Martyrs' Brigade (AAMB),101,Terrorist Organization,"The Al-Aqsa Martyrs' Brigade (AAMB) emerged at the outset of the 2000 Palestinian al-Aqsa intifada. AAMB’s ideological roots are in their allegiance to the Fatah, a left-wing political and military organization founded with the aim of wrestling Palestine away from Israeli control through low-intensity guerilla tactics. While AAMB is loyal to the Fatah, it is not under its direct control. Due to AAMB’s decentralized structure their funding is relatively ambiguous, though it’s believed that funding is mostly delivered from Iran through Hezbollah facilitators. Iran is thought to exploit AAMB’s lack of resources and decentralized leadership structure to ‘guide’ the organization in support to various AAMB cell’s anti-Israeli agenda. AAMB attacks Israeli military targets and Israeli settlers, aiming to expel Israeli presence from the West Bank and the Gaza Strip, and to establish an independent and sovereign Palestinian state there. On January 28, 2023, AAMB carried out a small-arms attack that killed seven Israeli civilians in East Jerusalem. On October 7, 2023 after Hamas launched an attack against Israel that claimed hundreds of lives, dozens of clashes between the Israeli military and Palestinian armed groups including AAMB, resulted in at least 12 reported fatalities.",AAMB; Al-Aqsa Intifada Martyrs' Group; Al-Aqsa Brigades; Martyrs of al-Aqsa group; Al-Aqsa Martyrs Battalion; Armed Militias of the Al-Aqsa Martyr Battalions,2003-04-02,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al-Ashtar Brigades,56,Terrorist Organization,"Al-Ashtar Brigades (AAB) is a Shia militant group supported by Iran which aims to overthrow Bahrain's Sunni monarchy. AAB was established in 2013 and has incited violence towards the Bahraini leadership. AAB has claimed responsibility for several bombings targeting security forces, including the February 14, 2014, attack on a minibus carrying police officers, which wounded several individuals; and the March 3, 2014, improvised explosive device attack which killed three policemen and injured several others. AAB also claimed responsibility for the killing of an off-duty police officer near Bahrain's capital city, Manama, on January 29, 2017. In 2019, AAB vowed to target American and British interests in Bahrain. On February 3, 2021, Bahrain security services foiled a bomb plot by alleged AAB affiliates. In May 2024, AAB claimed it launched a drone attack against the Israeli company Trucknet, representing the first time the Bahraini contingent of Iran's axis of resistance has actively taken part in the conflict against Israel.",Saraya al-Ashtar; Al Ashtar Brigades; The Ashtar Brigades; Saraya Waad Allah; Wa'ad Allah Brigades; Islamic Allah Brigades; Imam al-Mahdi Brigades; al-Haydariyah Brigades,2019-06-21,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al-Murabitoun,4,Terrorist Organization,"Al-Murabitoun, based in West Africa, is a terrorist organization established through a merger between the Movement for Oneness and Jihad in West Africa and al'Muwaqi'un Bil-Dima in August 2013. Al-Murabitoun's goal is to spread jihad across North Africa. The group was formed to strengthen efforts against French military forces and interests in the region. Al-Murabitoun has carried out terrorist activity, such as the February 8, 2014 kidnapping of five Malian aid workers near Gao, Mali. In 2015, Al-Murabitoun reaffirmed its continued adherence to the jihadist ideology of Al Qaida (AQ). It has also conducted joint operations with Al Qaida in the Islamic Maghreb (AQIM) in Mali, Burkina Faso, and Ivory Coast. On March 2, 2017, Al-Murabitoun merged with three other groups, including AQIM's Sahara branch, to form Jama'at Nusrat al-Islam wal-Muslimin (JNIM), an umbrella group which pledged allegiance to AQ. No incidents have been claimed or attributed to Al-Murabitoun since 2018. However, Al-Murabitoun fighters likely continue to participate in attacks claimed by JNIM.",Mourabitounes; Al-Mourabitoun; Al-Morabitoune; Al-Mourabitoune; Les Almoravides,2014-06-02,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al-Muwaqi'un Bil Dima,5,Terrorist Organization,"In December 2012, Mokhtar Belmokhtar, a former commander of Al Qaida in the Islamic Maghreb (AQIM), created al-Muwaqi'un Bil Dima (MBD), with the goal of deterring Western and African military intervention in northern Mali and imposing Sharia Law in North Africa. The MBD has carried out suicide bombing attacks and assaulted civilian facilities. For instance, the MBD claimed responsibility for the January 16, 2013 attack on the Tigantourine gas facility near the town of In Amenas in eastern Algeria. MBD militants, using assault rifles, rocket-propelled grenades and anti-tank mines, took dozens of foreign and Algerian workers hostage that resulted in the deaths of at least 48 hostages. In August 2013, MBD merged with Movement for Oneness and Jihad in West Africa (MOJWA) to form Al-Murabitoun.",Al Mouaquioune bi addimaa; Katibat al-Muqaoon bil-Dumaa; al-Muwaqun Bi-Dima; Al-Muawaqqi'un bi 'l-Dima al-Mouwakoune bi-Dimaa; al-Mua'qi'oon Biddam; Those Who Sign With Blood; El Mouwakaoune Bidame; Those Who Have Signed Through Blood; the Signatories for Blood; the Signatories in Blood; Those Who Sign in Blood.,2013-11-07,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al Qaida,6,Terrorist Organization,"Founded in 1988 by Usama bin Laden, Al Qaida serves as the strategic hub and driver for the global Islamist terrorist movement. The group's goals include uniting Muslims to fight the United States and its allies, overthrowing regimes it deems ""non-Islamic,"" and expelling Westerners and non-Muslims from Muslim countries. Al Qaida activities include, but are not limited to, suicide attacks, simultaneous bombings, kidnappings, and hijackings. Al Qaida has forged ties and strategic control over other like-minded Islamist terrorist groups and has provided encouragement and inspiration to other affiliated and aligned groups around the world. The Al Qaida network has been directly or indirectly associated with bombings, such as the 1998 bombings of two United States embassies in Dar es Salaam and Nairobi, as well as the 2000 bombing of the USS Cole. It perpetrated the World Trade Center and Pentagon attacks of September 11, 2001, and though foiled, plotted to bomb the New York subway system in 2009. On October 13, 2020, the group issued a statement through its as-Shab Media Foundation reiterating a call to target Israeli and American interests in the region, specifically threatening U.S. and Israeli embassies, consulates, companies, and ""combatant nationals"". In June 2024, a senior Al Qaida leader, called for foreign fighters to migrate to Afghanistan to prepare to attack global targets, and praised and encouraged ""sleeper cells"" in Western countries as a ""deterrent force"" against further western ""crimes."" Al Qaida continues to publicly encourage its followers to carry out attacks against its perceived enemies.",Al Jihad (AJ); Egyptian Islamic Jihad (EIJ); Vanguards of Conquest (VOC); The Islamic Army; Islamic Salvation Foundation; The Base; Group for the Preservation of the Holy Sites; Islamic Army for the Liberation of the Holy Places; World Islamic Front for Jihad Against Jews; Crusaders; Usama Bin Ladin Network; Usama Bin Ladin Organization; Qa'idat al-Jihad,2002-07-23,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al Qaida in the Arabian Peninsula (AQAP),7,Terrorist Organization,"A Yemen-based affiliate of Usama bin Laden's Al Qaida (AQ) network, Al Qaida in the Arabian Peninsula (AQAP) announced its formation in January 2009. Its primary objectives are to cleanse the Arabian Peninsula of foreign influence – particularly Western military personnel and civilian contractors – and to establish a single Islamic caliphate in place of the existing regimes in Yemen and Saudi Arabia. AQAP's most prominent attacks have been suicide bombings; however, the group has also engaged in guerilla-style raids on military and security targets. It is also responsible for the failed December 25, 2009, attempt to detonate an explosive abroad a Northwest Airlines flight as the plane prepared to land in Detroit, and the 2015 attack on the office of the magazine Charlie Hebdo in Paris, France. In February 2020, AQAP released a video claiming responsibility for a December 2019 attack where a Royal Saudi Air Force trainee opened fire in a classroom at the US Naval Air Station Pensacola, Florida, killing at least three US sailors and injuring eight others. In February 2022, AQAP militants kidnapped five UN workers that were released in August 2023 after a ransom was paid to AQAP.",Ansar al-Shari'a (AAS); Al-Qaida of Jihad Organization in the Arabian Peninsula; Tanzim Qa'idat al-Jihad fi Jazirat al- Arab; Al-Quaida Organization in the Arabian Peninsula (AQAP); Al-Quaida in the South Arabian Peninsula; Al-Qaida in Yemen (AQY),2010-12-23,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al Qaida in the Indian Subcontinent (AQIS),8,Terrorist Organization,"In a video released on September 3, 2014, Al Qaida (AQ) leader Ayman al-Zawahiri announced the creation of a new AQ affiliated group, AQIS. Al-Zawahiri named Asim Umar as leader of AQIS and Usama Mahmoud as spokesman. Since the announcement of its creation, AQIS has claimed responsibility for the September, 2014 attempt to hijack Pakistan Naval Ship Zulfiqar; the October, 2015 attacks on two publishers in Dhaka, Bangladesh; and several assassinations. In October 2019, there were reports that six AQIS militants had arrived in Karachi from Afghanistan with plans to reactivate their sleeper cell to carry out terrorist attacks. AQIS continued to propagate for violent jihad against Indian interests worldwide and against Indian government and military personnel. On October 2023, AQIS published a statement that praised the October 7 attack by Hamas on Israel, urging jihadists to kill citizens of Israel’s Western allies.",Qaedat al-Jihad in the Indian Subcontinent; Jamaat Qaidat al-Jihad fi Shibh al-Qarrah al-Hindiyah (Organization of the Base of Jihad in the Indian Subcontinent),2016-12-28,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al Qaida in the Islamic Maghreb (AQIM),9,Terrorist Organization,"AQIM is a militant Sunni Islamist extremist group which originated as the Groupe Islamique Armeé (Armed Islamic Group or GIA), an armed Islamist resistance movement to the secular Algerian government. In 1998, a splinter of the GIA declared its independence from the original group, believing the GIA's brutal tactics were hurting the Islamist cause. The Groupe salafiste pour la prédication et le combat (Salafist Group for Call and Combat (GSPC), as the new group named itself, gained support from the Algerian population by vowing to continue fighting the government while avoiding the indiscriminate killing of civilians. The GSPC officially merged with Al Qaida in September 2006, subsequently changing its name to AQIM, and announcing the name change in January 2007. Since its merger with Al Qaida, AQIM has also adopted a global jihad ideology, employing conventional terrorist tactics including guerilla-style ambushes and the use of improvised explosive devices against military personnel and truck bombs against government targets, in Algeria and West African countries. In 2016, 29 people were killed, including six Canadians, in an AQIM attack on a hotel in Burkina Faso. In March 2017, AQIM's Mali-based affiliate, Jama'at Nusrat al-Islam wal-Muslimin (JNIM), was formed. On March 2, 2018, a coordinated attack by JNIM on the army headquarters and the French Embassy in Ouagadougou, Burkina Faso's capital, killed at least eight people and wounding more than 80 others. In January 2019, AQIM claimed responsibility for an attack on United Nations camp at Aguelhok in northern Mali, killing ten peacekeepers and wounding 25 others. AQIM is still active and continues its terrorist activities through armed attacks.",Tanzim Qaedat bi-Bilad al-Maghrab al-Islami; Tanzim al-Qa´ida fi bilad al-Maghreb al-Islamiya; The Organization of Al-Qaida in the Islamic Maghreb; Al-Qa´ida Organisation in the Lands of the Islamic Maghreb; Al-Qa´ida in the Islamic Maghreb; Al-Qa´ida in the Lands of the Islamic Maghreb; al-Qaïda dans les pays du Maghreb islamique; Salafist Group for Call; Combat (GSPC); Groupe salafiste pour la prédication et le combat; the Salafist Group for Preaching; Combat,2002-07-23,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Al Shabaab,10,Terrorist Organization,"Al Shabaab is an organized but shifting Islamist group dedicated to establishing a Somali caliphate, waging war against the enemies of Islam, and removing all foreign forces and Western influence from Somalia. Although primarily active within Somalia, Al Shabaab has carried out mass-casualty attacks against civilians and military forces in countries that are considered hostile by the group, including Kenya and Ethiopia over the past two decades. It is the strongest, best organized, financed, and armed military group in Somalia, controlling the largest stretch of territory in southern Somalia. Al Shabaab has carried out suicide bombings and attacks using land mines and remote-controlled roadside bombs, as well as targeted assassinations against Ethiopian and Somali security forces, other government officials, journalists, and civil society leaders. It has also carried out suicide bombings in Uganda in retaliation for the presence of Ugandan peacekeeping forces in Somalia. In October 2017, Al Shabaab detonated two vehicle-borne improvised explosive devices in Mogadishu, killing 512 people and injuring 312 others. In December 2019, Al Shabaab claimed responsibility for a bombing at a busy intersection on the outskirts of Mogadishu, Somalia, killing at least 78 people and injuring at least 51. In October 2022, Al Shabaab claimed responsibility for detonating two Vehicle Borne Improvised Explosive Devices minutes apart near a busy Mogadishu intersection where the Ministry of Education building was located. The attack levelled buildings and burnt dozens of cars, killing at least 100 people were killed, and wounding an additional 300. The group is believed to be closely linked with Al Qaida and formally pledged allegiance to Usama bin Laden and his terrorist network.",Harakat Shabaab al Mujahidin; al Shabab; Shabaab; the Youth; Mujahidin al Shabaab Movement; Mujahideen Youth Movement; MYM; Mujahidin Youth; Hizbul Shabaab; Hisb'ul Shabaab; al-Shabaab al-Islamiya; Youth Wing; al Shabaab al-Islaam; al-Shabaab al-Jihad; the Unity of Islamic Youth; the Popular Resistance Movement in the Land of the Two Migrations,2010-03-05,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
